
Part(a)
Folds   Num_Epochs  Learning_Rate   Accuracy
10       25          0.1            0.8221153846153846
10       50          0.1            0.8221153846153846
10       75          0.1            0.8125
10       100         0.1            0.8221153846153846



Part(b)
Folds   Num_Epochs  Learning_Rate   Accuracy
5       50          0.1             0.8269230769230769
10      50          0.1             0.8028846153846154
15      50          0.1             0.8413461538461539
20      50          0.1             0.8509615384615384
25      50          0.1             0.8173076923076923
